GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,StringFieldDefinitionDomain,150,0,16,0,42,0,21,0,13,0
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,LongFieldDefinitionDomain,40,0,4,0,14,0,6,0,4,0
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,CategoryDomain,89,0,10,0,27,0,14,0,9,0
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,AbstractNumberFieldDefinitionDomain,163,0,26,0,40,0,24,0,11,0
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,AbstractFieldDefinitionDomain,201,0,30,0,46,0,31,0,16,0
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,DoubleFieldDefinitionDomain,40,0,4,0,14,0,6,0,4,0
runnable/hibernate,uk.pallas.systems.typr.entities.v1.domain,EnumFieldDefinitionDomain,188,0,34,0,35,0,31,0,14,0
runnable/hibernate,uk.pallas.systems.typr.services,FieldDefinitionServicesImpl,263,0,28,0,58,0,23,0,9,0
runnable/rest,uk.pallas.systems.typr.rest,FieldDefinitionsController,153,0,22,0,29,0,21,0,10,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,EnumFieldDefintionDTO,188,0,34,0,35,0,31,0,14,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,StringFieldDefinitionDTO,149,0,18,0,40,0,21,0,12,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,AbstractFieldDefinitionDTO,200,0,30,0,44,0,30,0,15,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,CategoryDTO,92,0,12,0,24,0,15,0,9,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,LongFieldDefinitionDTO,40,0,4,0,14,0,6,0,4,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,DoubleFieldDefinitionDTO,40,0,4,0,14,0,6,0,4,0
runnable/rest,uk.pallas.systems.typr.entities.v1.impl,AbstractNumberFieldDefinitionDTO,163,0,26,0,40,0,24,0,11,0
