GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
runnable/countries,uk.pallas.systems.typr.services.impl,CountryServiceImpl,0,57,2,12,0,13,2,8,0,3
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation,StringValidationRuleDomain,23,114,6,14,7,25,9,12,3,8
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation,EnumValidationRuleDomain,12,127,6,16,3,29,7,13,1,8
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation,AbstractValidationRuleDomain,23,44,4,2,7,13,6,6,3,6
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation,TimeValidationRuleDomain,14,127,6,14,3,28,7,12,1,8
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation.wrapper,CountryCodeRuleWrapperDomain,162,264,22,38,34,57,27,27,9,15
runnable/hibernate,uk.pallas.systems.typr.services,FieldDefinitionServiceImpl,33,0,0,0,7,0,5,0,5,0
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation.number,AbstractNumberValidationRuleDomain,4,209,4,38,2,39,5,29,1,12
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation.number,LongValidationRuleDomain,0,87,1,13,0,19,1,11,0,5
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1.validation.number,DoubleValidationRuleDomain,12,43,2,4,3,14,2,6,0,5
runnable/hibernate,uk.pallas.systems.typr.domain.entities.v1,FieldDefinitionDomain,106,399,18,38,20,80,19,27,4,14
runnable/rest,uk.pallas.systems.typr.rest.entities.v1,FieldDefinitionDTO,110,278,20,42,22,57,21,27,4,13
runnable/rest,uk.pallas.systems.typr.rest,FieldDefinitionsController,158,152,34,16,31,38,26,17,4,14
runnable/rest,uk.pallas.systems.typr.rest,CategoriesController,10,0,0,0,4,0,3,0,3,0
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation.number,AbstractNumberValidationRuleDTO,35,178,12,30,5,38,10,24,2,11
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation.number,LongValidationRuleDTO,0,87,1,13,0,19,1,11,0,5
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation.number,DoubleValidationRuleDTO,12,72,2,12,3,15,2,10,0,5
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation,EnumValidationRuleDTO,12,127,6,16,3,29,7,13,1,8
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation,TimeValidationRuleDTO,14,127,6,14,3,28,7,12,1,8
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation,StringValidationRuleDTO,23,114,6,14,7,25,9,12,3,8
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation,AbstractValidationRuleDTO,20,40,4,2,6,11,5,5,2,5
runnable/rest,uk.pallas.systems.typr.rest.entities.v1.validation.wrapper,CountryCodeRuleWrapperDTO,70,201,10,24,12,44,12,19,3,11
runnable/units,uk.pallas.systems.typr.services.impl,UnitsServiceImpl,14,194,12,28,4,45,12,16,0,8
